DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2016,11.71,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2017,11.328,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2018,10.943,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2019,11.009,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2020,10.52,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2021,10.477,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2022,10.364,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Switzerland,2023,9.709,e,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2000,24.315,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2001,24.058,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2002,25.809,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2003,22.436,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2004,24.739,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2005,24.907,i,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic material consumption,Total,Tonnes per capita,Cyprus,2006,24.234,i,
