DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2001,4.83,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2002,4.96,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2003,4.77,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2004,4.90,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2005,5.05,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2006,5.18,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2007,5.37,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2008,5.22,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2009,5.56,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2010,5.32,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2011,5.84,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2012,6.15,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2013,5.94,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2014,6.42,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2015,6.46,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2016,6.16,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2017,6.17,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2018,6.28,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2019,6.41,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2020,6.78,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2021,6.47,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2022,7.24,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Belgium,2023,7.84,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2000,1.31,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2001,1.30,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2002,1.41,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2003,1.44,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2004,1.58,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2005,1.60,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2006,1.66,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2007,1.80,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2008,1.94,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2009,2.12,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2010,2.13,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2011,2.03,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2012,2.13,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2013,2.28,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2014,2.20,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2015,2.18,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2016,2.29,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bulgaria,2017,2.28,,
