DATAFLOW,LAST UPDATE,freq,tax,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Czechia,2023,1.56,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,1995,2.12,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,1996,2.14,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,1997,2.12,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,1998,2.08,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,1999,2.23,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2000,2.39,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2001,2.56,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2002,2.57,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2003,2.73,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2004,2.65,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2005,2.62,,
ESTAT:ENV_AC_TAX(1.0),28/01/25 11:00:00,Annual,Total environmental taxes,Percentage of gross domestic product (GDP),Germany,2006,2.58,,
